postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS484RQ,BS48,4RQ,BS48 4RQ,North Somerset Council,SolarPanels,,11,1,5,4.57
BS251AR,BS25,1AR,BS25 1AR,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS405NN,BS40,5NN,BS40 5NN,North Somerset Council,SolarPanels,1,10,1,7,4.15
GL128LW,GL12,8LW,GL12 8LW,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS83UE,BS8,3UE,BS8 3UE,North Somerset Council,SolarPanels,,16,1,5,6.64
BS91TT,BS9,1TT,BS9 1TT,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS312GD,BS31,2GD,BS31 2GD,Bath and North East Somerset Council,SolarPanels,,6,1,7,2.49
BS311XD,BS31,1XD,BS31 1XD,Bath and North East Somerset Council,SolarPanels,,10,1,5,4.15
BS351TB,BS35,1TB,BS35 1TB,South Gloucestershire Council,SolarPanels,,15,1,12,6.23
BS482SP,BS48,2SP,BS48 2SP,North Somerset Council,SolarPanels,,12,1,5,4.98
BS324NX,BS32,4NX,BS32 4NX,South Gloucestershire Council,SolarPanels,,22,1,12,9.13
BS377GA,BS37,7GA,BS37 7GA,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BA20LD,BA2,0LD,BA2 0LD,Bath and North East Somerset Council,SolarPanels,,6,1,7,2.49
BS42DA,BS4,2DA,BS4 2DA,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS483HD,BS48,3HD,BS48 3HD,North Somerset Council,SolarPanels,1,8,1,7,3.32
BA15TU,BA1,5TU,BA1 5TU,Bath and North East Somerset Council,SolarPanels,,20,1,5,8.30
BA25QQ,BA2,5QQ,BA2 5QQ,Bath and North East Somerset Council,SolarPanels,,5,1,5,2.08
BA29AF,BA2,9AF,BA2 9AF,Bath and North East Somerset Council,SolarPanels,,9,1,5,3.74
BA22AN,BA2,2AN,BA2 2AN,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BS481UQ,BS48,1UQ,BS48 1UQ,North Somerset Council,SolarPanels,,11,1,7,4.57
BS159GE,BS15,9GE,BS15 9GE,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS66DU,BS6,6DU,BS6 6DU,Bristol City Council,SolarPanels,,9,1,5,3.74
BS311JX,BS31,1JX,BS31 1JX,Bath and North East Somerset Council,SolarPanels,,10,1,5,4.15
BS140BU,BS14,0BU,BS14 0BU,Bath and North East Somerset Council,SolarPanels,,17,1,12,7.06
BS482UQ,BS48,2UQ,BS48 2UQ,North Somerset Council,SolarPanels,,11,1,7,4.57
BS78JQ,BS7,8JQ,BS7 8JQ,Bristol City Council,SolarPanels,1,12,1,7,4.98
BS320DS,BS32,0DS,BS32 0DS,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS308YF,BS30,8YF,BS30 8YF,South Gloucestershire Council,SolarPanels,,12,1,12,4.98
BS32BB,BS3,2BB,BS3 2BB,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS395XF,BS39,5XF,BS39 5XF,Bath and North East Somerset Council,SolarPanels,1,6,1,5,2.49
BS483QX,BS48,3QX,BS48 3QX,North Somerset Council,SolarPanels,,8,1,7,3.32
BS229QG,BS22,9QG,BS22 9QG,North Somerset Council,SolarPanels,,12,1,5,4.98
BS251LY,BS25,1LY,BS25 1LY,North Somerset Council,SolarPanels,,14,1,7,5.81
BS208DD,BS20,8DD,BS20 8DD,North Somerset Council,SolarPanels,,14,0,,5.81
BS162HH,BS16,2HH,BS16 2HH,Bristol City Council,SolarPanels,,8,1,5,3.32
BA22BW,BA2,2BW,BA2 2BW,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BS484LT,BS48,4LT,BS48 4LT,North Somerset Council,SolarPanels,,15,0,,6.23
BS234SF,BS23,4SF,BS23 4SF,North Somerset Council,SolarPanels,,9,1,7,3.74
BS309YJ,BS30,9YJ,BS30 9YJ,South Gloucestershire Council,SolarPanels,,9,1,5,3.74
BA28DU,BA2,8DU,BA2 8DU,Bath and North East Somerset Council,SolarPanels,,12,1,7,4.98
BS375UW,BS37,5UW,BS37 5UW,South Gloucestershire Council,SolarPanels,,13,1,7,5.40
BS361DY,BS36,1DY,BS36 1DY,South Gloucestershire Council,SolarPanels,,9,1,7,3.74
BS93JQ,BS9,3JQ,BS9 3JQ,Bristol City Council,SolarPanels,,10,1,7,4.15
